,Unnamed: 0,last_name_x, first_name_x,player_id,power_score,contact_score,discipline_score,composite_score_scaled,batting_avg,on_base_percent,slg_percent,on_base_plus_slg,woba,home_run,strikeout,walk,double,bb_percent,k_percent,hit,year_x
171,174,Margot, Manuel,622534,38.2765704156412,66.65808566608615,39.54436226111985,45.692266008313965,0.254,0.313,0.382,0.695,0.301,10,70,37,18,8.0,15.1,107,2021
172,90,Seager, Kyle,572122,56.12058722834353,35.49265478124944,71.88610729944108,45.08579450937635,0.212,0.285,0.438,0.723,0.308,35,161,59,29,8.8,24.0,128,2021
173,107,Moran, Colin,592567,45.05881768841709,50.783221203251635,38.07654205294688,45.02972188937513,0.258,0.334,0.39,0.724,0.318,10,87,36,12,10.0,24.2,82,2021
174,37,d'Arnaud, Travis,518595,48.04984612514807,51.973521209732965,21.640600421700864,44.83326748435743,0.22,0.284,0.388,0.672,0.291,7,53,17,14,7.4,23.1,46,2021
175,176,Ramirez, Harold,623912,48.026358840004114,57.21961104191098,11.244921182101145,44.797135198221326,0.268,0.305,0.398,0.703,0.302,7,56,14,21,3.9,15.5,91,2021
176,197,McMahon, Ryan,641857,57.86733244495619,39.92646089423328,59.598497272331734,44.49935801622157,0.254,0.331,0.449,0.78,0.334,23,147,59,32,9.9,24.7,134,2021
177,202,Rosario, Amed,642708,42.66787007456165,55.43308789262264,37.29458817229493,44.46833580913787,0.282,0.321,0.409,0.73,0.315,11,120,31,25,5.3,20.4,155,2021
178,19,Santana, Carlos,467793,39.261166046542975,40.191770909218086,81.84442250409988,44.29524151513169,0.214,0.319,0.342,0.661,0.294,19,102,86,15,13.1,15.5,121,2021
179,55,Dickerson, Alex,543105,47.08887642831615,47.34507282434561,32.56973124937248,44.21045165449176,0.233,0.304,0.42,0.724,0.313,13,76,23,10,7.4,24.4,66,2021
180,134,Severino, Pedro,600474,47.110733639521904,42.35038043074198,42.0890257371398,44.149379365719675,0.248,0.308,0.383,0.691,0.299,11,109,34,18,8.1,26.0,94,2021
181,10,Cain, Lorenzo,456715,36.48177621892963,67.90131911579927,38.39131162354832,44.0155679328862,0.257,0.329,0.401,0.73,0.319,8,48,26,13,9.1,16.8,66,2021
182,127,Slater, Austin,596103,46.40639925745085,44.60922140379781,40.22691522473979,44.01495032070669,0.241,0.32,0.423,0.743,0.321,12,84,28,12,9.2,27.5,66,2021
183,175,Bote, David,623520,44.946417420577816,48.445051722449286,38.735901469259346,43.91145205372203,0.199,0.276,0.33,0.606,0.268,8,73,27,10,8.3,22.3,58,2021
184,276,Kelenic, Jarred,672284,44.18477542027502,43.98474417558218,50.56958064192242,43.821394101042,0.181,0.265,0.35,0.615,0.27,14,106,36,13,9.5,28.1,61,2021
185,27,Lagares, Juan,501571,47.29942789882798,56.59703319782362,11.486796746879085,43.73807281327307,0.236,0.266,0.372,0.638,0.274,6,76,12,20,3.7,23.2,73,2021
186,212,Toro, Abraham,647351,34.929678075494095,74.9570411813552,30.073111549918007,43.691090234680274,0.239,0.315,0.373,0.688,0.303,11,54,31,12,8.3,14.4,80,2021
187,18,Andrus, Elvis,462101,34.47803311777533,67.79969486916187,44.4398574249473,43.24662818543963,0.243,0.294,0.32,0.614,0.27,3,81,31,25,5.7,15.0,121,2021
188,164,Taylor, Chris,621035,52.74648880207934,36.490313899961194,78.78453094146391,43.17415950426745,0.254,0.344,0.438,0.782,0.338,20,167,63,25,10.8,28.7,129,2021
189,141,Caratini, Victor,605170,45.225585817426584,49.416375660661515,29.814669165634736,42.46549786156018,0.227,0.309,0.323,0.632,0.273,7,82,35,9,9.8,23.0,71,2021
190,76,Suarez, Eugenio,553993,51.7185768249828,28.449428560851526,83.42324040295861,42.19809763202009,0.198,0.286,0.428,0.714,0.306,31,171,56,23,9.8,29.8,100,2021
191,148,Peterson, Jace,607054,40.2311482423133,53.151976772993095,43.40774456976472,42.152679982961125,0.247,0.348,0.367,0.715,0.318,6,68,38,11,12.6,22.5,64,2021
192,219,Bradley, Bobby,656252,59.03227217265214,16.92302835148885,31.28414605575823,42.14778453759878,0.208,0.294,0.445,0.739,0.314,16,99,25,10,9.0,35.5,51,2021
193,97,Contreras, Willson,575929,57.55802726865624,19.59061652918603,61.54509856420899,42.13169856869759,0.237,0.34,0.438,0.778,0.337,21,138,52,20,10.8,28.6,98,2021
194,92,Walker, Christian,572233,45.013229130158614,42.67042260241245,42.56615013889354,42.08656902945648,0.244,0.315,0.382,0.697,0.304,10,106,38,23,8.5,23.8,98,2021
195,83,Goodwin, Brian,571718,42.06029783341304,48.933271010110616,42.61253723350848,41.90483896889336,0.221,0.319,0.374,0.693,0.306,8,58,33,10,12.2,21.4,52,2021
196,75,Narvaez, Omar,553882,33.47542662201208,72.7311985703632,32.79006994879347,41.647125960374744,0.266,0.342,0.402,0.744,0.322,11,84,41,20,9.2,18.9,104,2021
197,207,Kiner-Falefa, Isiah,643396,29.275820781866184,79.04665274760573,38.81045215703338,41.599135598738066,0.271,0.312,0.357,0.669,0.293,8,90,28,25,4.1,13.3,172,2021
198,74,Diaz, Elias,553869,37.945101446689414,60.33681515851493,36.80255363298639,41.50284967211975,0.246,0.31,0.464,0.774,0.33,18,60,30,18,8.1,16.2,83,2021
199,189,Bauers, Jake,641343,41.35181713488392,53.46034353849739,34.34238093644366,41.28136470678756,0.209,0.29,0.277,0.567,0.257,4,78,30,7,9.5,24.8,59,2021
200,171,Wendle, Joey,621563,39.16450403770592,55.529244902692334,39.77795441614513,41.228947565288415,0.265,0.319,0.422,0.741,0.317,11,113,28,31,5.6,22.6,122,2021
201,98,Iglesias, Jose,578428,35.52274847885001,77.26308879269713,12.469209143545626,41.077834604671146,0.271,0.309,0.391,0.7,0.304,9,75,21,27,4.1,14.7,131,2021
202,203,Adames, Willy,642715,57.06110608640045,33.71031658892832,51.976103617925645,40.91920198570224,0.262,0.337,0.481,0.818,0.349,25,156,57,32,10.3,28.1,130,2021
203,120,Gosselin, Phil,594838,36.515981512412374,65.85354013794488,28.5439941095753,40.56821225535412,0.261,0.314,0.362,0.676,0.297,7,81,24,14,6.4,21.7,90,2021
204,201,VanMeter, Josh,642165,43.13945107392188,40.77617659214087,48.39932728672312,40.52061621882772,0.212,0.297,0.354,0.651,0.287,6,83,33,17,10.6,26.8,58,2021
205,194,Heim, Jonah,641680,38.11512636726707,60.67344172933401,31.357040061581717,40.49286703409313,0.196,0.239,0.358,0.597,0.256,10,58,15,13,5.3,20.4,52,2021
206,232,Varsho, Daulton,662139,42.29964460063474,53.95587285559964,25.129572609525088,40.27285244514945,0.246,0.318,0.437,0.755,0.322,11,67,30,17,9.5,21.3,70,2021
207,41,Heyward, Jason,518792,39.86740137912654,54.60299989068875,31.468037752267488,39.46931984249914,0.214,0.28,0.347,0.627,0.275,8,68,27,15,7.6,19.3,69,2021
208,61,Miller, Brad,543543,58.27815427514428,32.32399219111711,41.45120318618428,39.4652675780754,0.227,0.321,0.453,0.774,0.331,20,112,45,9,11.9,29.7,75,2021
209,248,Moore, Dylan,664238,40.026672014752464,41.694321705513886,56.17082231667728,39.45138291693679,0.181,0.276,0.334,0.61,0.271,12,111,40,11,10.6,29.4,60,2021
210,45,Galvis, Freddy,520471,33.58117591133846,69.45722226604514,29.706984838850023,39.36962312849403,0.242,0.302,0.407,0.709,0.305,14,77,27,15,6.9,19.5,86,2021
211,63,Shaw, Travis,543768,43.10023846112737,45.24223922448797,33.17939020716892,38.869913810471154,0.2,0.286,0.373,0.659,0.289,9,68,24,11,9.6,27.2,44,2021
212,262,Garcia, Adolis,666969,56.366603555382255,14.538385210918934,56.16419558887512,38.8278092622112,0.243,0.286,0.454,0.74,0.314,31,194,32,26,5.1,31.2,141,2021
213,196,McKinney, Billy,641856,39.39856240484576,45.75315472931811,48.35128351015764,38.798736441672645,0.192,0.28,0.358,0.638,0.277,9,79,32,11,10.7,26.3,51,2021
214,163,Newman, Kevin,621028,25.13263689362978,79.8504783923951,43.87492887981526,38.64390220951493,0.226,0.265,0.309,0.574,0.249,5,41,27,22,4.9,7.4,117,2021
215,246,Bader, Harrison,664056,36.62262208549762,55.990818720243176,38.87174938920312,38.39313108782552,0.267,0.324,0.46,0.784,0.331,16,85,27,21,6.7,21.2,98,2021
216,181,Trevino, Jose,624431,37.033790040742666,68.920078318847,11.168713812376582,38.305056082344194,0.239,0.267,0.34,0.607,0.261,5,57,12,14,4.0,18.9,68,2021
217,17,Gardner, Brett,458731,30.597021906968735,53.16073239184074,70.03393687874429,38.08573937951242,0.222,0.327,0.362,0.689,0.305,10,100,60,16,13.0,21.7,86,2021
218,2,Molina, Yadier,425877,37.84463320648477,63.25147694345855,16.077462431808303,37.633772240791224,0.252,0.297,0.37,0.667,0.29,11,79,24,19,5.1,16.7,111,2021
219,271,Solak, Nick,669256,34.19189766363055,49.49735569156863,57.69165634726732,37.1861232411748,0.242,0.314,0.362,0.676,0.299,11,107,34,18,6.7,20.9,111,2021
220,278,McCormick, Chas,676801,56.0218357207974,30.209118759112087,41.476053415442294,36.69203493437628,0.257,0.319,0.447,0.766,0.327,14,104,25,12,7.8,32.5,73,2021
221,131,Franco, Maikel,596748,35.33616108652441,57.65287929408209,32.791726630743995,36.25488994379496,0.21,0.253,0.355,0.608,0.263,11,67,20,22,5.0,16.6,79,2021
222,65,Vazquez, Christian,543877,29.282259124070126,71.0238755813397,32.7039224873657,36.09962708251389,0.258,0.308,0.352,0.66,0.289,6,84,33,23,6.6,16.9,118,2021
223,123,Baez, Javier,595879,58.48183033061418,21.706040275555395,32.31791559289131,36.08964173688987,0.265,0.319,0.494,0.813,0.344,31,184,28,18,5.1,33.6,133,2021
224,274,Lopez, Nicky,670032,25.840307282300056,71.20696808644536,47.0557582248402,35.95015165858762,0.3,0.365,0.378,0.743,0.329,2,74,49,21,8.7,13.1,149,2021
225,243,Happ, Ian,664023,51.294196358134904,20.301491815408696,62.74287961444493,35.528810866930314,0.226,0.323,0.434,0.757,0.328,25,156,62,20,11.6,29.2,105,2021
226,193,Hampson, Garrett,641658,37.47529780225546,49.40632101531378,36.37347300779812,35.45608699679269,0.234,0.289,0.38,0.669,0.288,11,118,33,21,6.7,23.9,106,2021
227,185,Hernandez, Yadiel,628450,39.762736461856456,46.013329661240725,31.8706114662472,35.19838873964547,0.273,0.329,0.413,0.742,0.32,9,59,22,8,7.6,20.4,72,2021
228,220,Chapman, Matt,656305,49.18834168247631,13.140330825934456,73.82939522741727,35.07627632562844,0.21,0.314,0.403,0.717,0.311,27,202,80,15,12.9,32.5,111,2021
229,122,Profar, Jurickson,595777,26.219980640155978,65.17444398532042,53.46711737340608,34.99441641376669,0.227,0.329,0.32,0.649,0.293,4,65,49,17,11.9,15.8,80,2021
230,150,Pillar, Kevin,607680,39.030864797460815,58.3917362934263,9.382810669701136,34.87037795745514,0.231,0.277,0.415,0.692,0.297,15,81,11,11,3.2,23.3,75,2021
231,81,Barnhart, Tucker,571466,39.12306895142464,45.24972411287098,34.832758793801666,34.8494926510511,0.247,0.317,0.368,0.685,0.3,7,100,29,21,7.5,25.8,86,2021
232,277,Kim, Ha-Seong,673490,33.35925925927347,57.40603881115175,36.22602831420062,34.787947164191635,0.202,0.27,0.352,0.622,0.27,8,71,22,12,7.4,23.8,54,2021
233,208,McNeil, Jeff,643446,33.364522975949676,58.9708510444051,32.27484186217745,34.577476106441125,0.251,0.319,0.36,0.679,0.301,7,58,29,19,6.8,13.6,97,2021
234,60,McCann, James,543510,39.32541240408493,44.06305101149576,35.18894541316645,34.57686421014141,0.232,0.294,0.349,0.643,0.281,10,115,32,12,7.8,27.9,87,2021
235,184,Heredia, Guillermo,628338,36.02163835591471,50.12931932564345,37.6458047458081,34.51105676092238,0.22,0.311,0.354,0.665,0.292,5,81,32,26,9.2,23.3,67,2021
236,70,Stassi, Max,545358,54.83641079177166,26.705627209404746,39.74979082298606,34.50317178094776,0.241,0.326,0.426,0.752,0.327,13,101,28,11,8.8,31.7,68,2021
237,252,Brown, Seth,664913,54.20825537135644,33.56150685648039,36.11668730546538,33.73688423698861,0.214,0.274,0.48,0.754,0.315,20,89,23,13,7.5,29.0,60,2021
238,143,Tapia, Raimel,606132,24.19657956028488,64.74042053665843,52.92041232972992,32.38384528437045,0.273,0.327,0.372,0.699,0.305,6,70,40,26,7.5,13.1,133,2021
239,13,Upton, Justin,457708,49.40070787763319,27.805312360019364,54.05523946584558,32.1618560457994,0.211,0.296,0.409,0.705,0.305,17,107,39,12,10.8,29.6,67,2021
240,136,Daza, Yonathan,602074,30.08185691292848,67.45490686279018,19.22018809197095,31.840452361484836,0.282,0.332,0.355,0.687,0.304,2,60,21,12,6.3,18.1,85,2021
241,7,Cabrera, Asdrubal,452678,38.17076310749297,40.2785619029938,36.48447069848389,31.738477209327694,0.23,0.313,0.366,0.679,0.297,7,80,36,21,10.2,22.7,71,2021
242,192,Dozier, Hunter,641531,47.457174435060246,32.33542872124301,58.5481609156933,31.679433795896728,0.216,0.285,0.394,0.679,0.293,16,154,43,27,7.9,28.4,105,2021
243,52,Berti, Jon,542932,31.222889142785853,56.39898290238197,34.65880718899562,31.511329803400155,0.21,0.311,0.313,0.624,0.282,4,61,32,10,11.8,22.5,49,2021
244,250,Bohm, Alec,664761,48.70700547829449,39.58296921880186,47.90066601961244,31.29737100539524,0.247,0.305,0.342,0.647,0.285,7,111,31,15,7.4,26.6,94,2021
245,247,Fletcher, David,664058,14.412819725233078,95.77748821108244,29.35079821948526,30.92439051656624,0.262,0.297,0.324,0.621,0.273,2,60,31,27,4.7,9.0,164,2021
246,166,Phillips, Brett,621433,49.24863744038605,22.133984922725727,52.52280866160179,30.90732069272469,0.206,0.3,0.427,0.727,0.313,13,113,33,9,11.3,38.7,52,2021
247,77,Polanco, Gregory,570256,49.64488776216214,34.80389290915596,43.031677766993546,30.532247334302188,0.208,0.283,0.354,0.637,0.275,11,104,36,12,9.4,27.2,70,2021
248,280,Jeffers, Ryan,680777,52.92733414783992,31.987238953461983,29.484989457478495,30.448660209296968,0.199,0.27,0.401,0.671,0.289,14,108,22,10,7.5,36.9,53,2021
249,264,Arozarena, Randy,668227,44.08899089934801,31.35700735689621,68.11549918002612,30.200152254619574,0.274,0.356,0.459,0.815,0.35,20,170,56,32,9.3,28.1,145,2021
